[DEBUG] ble start
create Ble_Task_Handle
Ble Task started
-7873	-4737	-6145	-7937	-6529	-12161	-10433	-17601	
-17985	-19905	-21825	-17921	-16257	-13761	-9153	-5889	
-5121	-513	-193	-20033	-17473	-22529	-24193	-28225	
-28033	25919	-32513	18367	-29633	21375	-13377	21887	
-1217	17919	-5697	24255	-14657	-27137	26048	-31168	
28736	-27584	26496	-22272	27648	-21120	25920	-24000	
16512	-30784	8064	25152	5056	20992	3456	23103	
-192	-001	-11136	0639	-12608	2943	-12288	7231	
-11008	7103	-9344	5055	-5696	7872	1664	9472	
6976	7296	2304	11583	-5568	19839	-5696	-25024	
-27200	-29056	29888	-30144	25728	-25536	26752	-28352	
26624	26880	23808	22784	23360	22720	26112	19840	
24000	1215	-13248	0191	-8064	2559	-2688	6784	
1024	4864	4160	2304	6336	4544	13888	4800	
24832	3456	26368	7168	19840	8960	19648	-4992	
-26049	-192	-23105	-192	-18497	-4416	-16769	-6208	
-14273	-5120	-11649	-4608	-17857	-5888	-26433	-11264	
-26625	-18560	-24128	-13632	-21952	-16256	-21248	-21824	
-25664	-28480	31616	-31936	28032	-31424	27712	-31616	
23744	29824	18624	25984	-15488	-24896	-14848	-29568	
-20288	31104	-25984	28928	-28800	26112	31488	26240	
30272	30976	-30464	31616	-30080	29376	32448	29567	
13759	27839	14719	28159	17087	26623	18367	24959	
18047	23551	14783	19455	8767	16191	7231	18239	
12927	21183	17407	0767	-28288	3839	-25664	9087	
-17280	9983	-11712	5823	-11904	5375	-6656	5824	
0320	2815	-640	2047	-1344	3648	1216	3904	
-4480	-3072	-5952	-7360	-7488	-14976	-9536	-20416	
-12736	-21440	-14976	-20352	-17216	-21312	-21440	-24832	
-24896	-28416	-19457	-27713	-19329	-30401	-19329	-31233	
-18305	-31041	-16129	-32257	-14913	-31681	-13313	-30017	
-11457	-30849	-11969	-21504	17087	-21440	11199	-19520	
6591	-20672	2431	-19840	2111	-17344	3327	-19265	
-449	-19457	-3393	-16001	-2817	-17729	-5121	3712	
2304	3456	3392	0960	1663	-448	1087	-192	
3007	-256	2111	-1537	-2113	-1729	-3712	0127	
-2432	3455	-3136	6271	-3584	-3553	-1697	-2176	
0287	-1664	1183	-1664	0927	-2592	0543	-4416	
0543	-5824	0415	-5985	-129	-5697	-897	-5441	
-1697	-5057	4000	11808	3328	13312	3872	14688	
4352	15424	3360	17024	3008	18816	3616	18496	
3328	16608	3168	15616	3456	15296	2400	-8417	
-12513	-7329	-13281	-6241	-13729	-6369	-14177	-6977	
-15649	-7457	-16449	-8353	-15521	-9249	-14273	-9953	
-13537	-10817	5536	20288	5664	18816	5344	17568	
6272	18496	6976	18528	8000	16512	10592	15680	
12000	15488	12288	14240	12928	14144	-2593	-4001	
-2081	-4129	-2529	-3009	-3617	-3297	-3969	-7137	
-3873	-10689	-5121	-12161	-6785	-14209	-7553	-16897	
-7649	-17985	4224	8768	7616	9728	12352	7584	
11680	7360	10016	10016	13888	10752	15808	7488	
11872	4704	9216	5440	9312	5504	10016	6592	
0416	9568	1216	12192	3712	7936	3168	3136	
0064	2687	-1728	3007	-2048	2303	-736	4864	
3808	11936	8736	16736	10112	17056	0992	3584	
3136	2720	5664	0256	5951	-224	3967	-1056	
2176	0544	2272	5344	4928	4992	7968	0128	
8192	0000	7328	4768	8192	11808	13952	14432	
